iter	Passed	Remaining
0	3	1228
1	6	1210
2	9	1202
3	11	1178
4	14	1158
5	17	1167
6	21	1180
7	23	1157
8	26	1143
9	28	1115
10	31	1118
11	34	1104
12	35	1066
13	37	1046
14	39	1023
15	42	1015
16	45	1027
17	48	1028
18	51	1028
19	53	1023
20	56	1026
21	59	1027
22	62	1028
23	65	1028
24	68	1024
25	71	1025
26	74	1027
27	77	1030
28	80	1028
29	82	1018
30	85	1013
31	87	1009
32	90	1002
33	92	990
34	94	986
35	97	983
36	100	982
37	102	973
38	103	959
39	105	950
40	107	942
41	109	934
42	112	933
43	115	931
44	118	935
45	121	934
46	123	927
47	125	921
48	127	911
49	128	902
50	131	898
51	133	895
52	135	889
53	137	881
54	140	878
55	142	874
56	144	872
57	147	868
58	149	861
59	150	854
60	153	850
61	155	848
62	158	847
63	161	845
64	162	839
65	165	836
66	167	832
67	169	827
68	171	824
69	174	821
70	176	819
71	179	816
72	181	814
73	184	811
74	186	808
75	189	805
76	191	803
77	193	799
78	195	796
79	198	793
80	200	789
81	203	787
82	205	784
83	207	780
84	209	774
85	211	772
86	214	769
87	216	766
88	218	764
89	221	761
90	223	759
91	226	756
92	228	753
93	230	749
94	232	746
95	234	743
96	237	740
97	239	737
98	241	734
99	243	730
100	245	727
101	248	724
102	250	721
103	252	718
104	254	715
105	256	712
106	259	709
107	261	706
108	263	703
109	265	700
110	267	697
111	269	693
112	271	690
113	273	686
114	275	683
115	277	680
116	280	677
117	282	675
118	285	673
119	287	670
120	289	666
121	291	663
122	293	661
123	295	658
124	298	656
125	300	653
126	303	651
127	305	649
128	308	647
129	310	644
130	312	642
131	314	639
132	316	636
133	318	632
134	321	630
135	323	627
136	325	625
137	328	622
138	330	620
139	332	617
140	334	614
141	336	612
142	339	609
143	341	606
144	343	604
145	345	601
146	347	598
147	349	595
148	352	593
149	354	590
150	355	586
151	358	584
152	360	582
153	362	579
154	365	576
155	367	574
156	369	571
157	371	568
158	373	566
159	375	563
160	377	561
161	380	558
162	382	555
163	384	553
164	386	550
165	388	547
166	390	545
167	392	542
168	394	539
169	397	537
170	399	534
171	401	532
172	403	529
173	405	526
174	407	523
175	408	520
176	410	517
177	411	513
178	414	511
179	416	508
180	417	505
181	419	502
182	422	500
183	424	498
184	427	496
185	429	493
186	431	491
187	433	489
188	436	486
189	438	484
190	440	482
191	443	480
192	445	477
193	447	475
194	450	473
195	452	470
196	454	468
197	456	465
198	459	463
199	461	461
200	463	459
201	466	456
202	468	454
203	470	452
204	473	450
205	475	447
206	477	445
207	479	442
208	481	440
209	484	438
210	486	435
211	488	432
212	490	430
213	492	428
214	494	425
215	497	423
216	499	421
217	501	418
218	502	415
219	505	413
220	507	411
221	510	408
222	511	406
223	513	403
224	515	401
225	517	398
226	519	395
227	521	393
228	523	390
229	525	388
230	527	386
231	530	383
232	531	381
233	534	378
234	536	376
235	538	374
236	541	372
237	543	369
238	545	367
239	547	364
240	549	362
241	551	359
242	552	357
243	554	354
244	556	352
245	559	350
246	561	347
247	563	345
248	566	343
249	568	341
250	570	338
251	572	336
252	575	334
253	577	331
254	579	329
255	581	326
256	583	324
257	585	322
258	586	319
259	588	316
260	590	314
261	592	312
262	594	309
263	597	308
264	600	306
265	603	304
266	605	301
267	607	299
268	610	297
269	612	294
270	614	292
271	616	290
272	618	287
273	621	285
274	623	283
275	626	281
276	628	279
277	630	276
278	632	274
279	634	272
280	637	269
281	639	267
282	641	265
283	643	262
284	645	260
285	648	258
286	650	255
287	652	253
288	654	251
289	656	249
290	659	246
291	661	244
292	663	242
293	665	239
294	667	237
295	669	235
296	672	233
297	674	230
298	676	228
299	678	226
300	680	223
301	683	221
302	685	219
303	687	217
304	689	214
305	692	212
306	694	210
307	696	208
308	698	205
309	699	203
310	701	200
311	703	198
312	705	196
313	707	193
314	709	191
315	712	189
316	714	187
317	716	184
318	718	182
319	720	180
320	723	177
321	725	175
322	727	173
323	730	171
324	732	169
325	734	166
326	737	164
327	739	162
328	742	160
329	744	157
330	747	155
331	749	153
332	751	151
333	753	148
334	755	146
335	757	144
336	759	142
337	762	139
338	764	137
339	766	135
340	768	132
341	770	130
342	773	128
343	775	126
344	778	124
345	780	121
346	783	119
347	785	117
348	788	115
349	790	112
350	792	110
351	794	108
352	796	106
353	798	103
354	800	101
355	802	99
356	805	96
357	807	94
358	809	92
359	812	90
360	814	88
361	817	85
362	819	83
363	821	81
364	823	78
365	825	76
366	828	74
367	830	72
368	832	69
369	835	67
370	837	65
371	839	63
372	842	60
373	844	58
374	846	56
375	848	54
376	850	51
377	853	49
378	855	47
379	857	45
380	859	42
381	862	40
382	864	38
383	867	36
384	869	33
385	871	31
386	874	29
387	876	27
388	878	24
389	880	22
390	883	20
391	885	18
392	887	15
393	890	13
394	892	11
395	894	9
396	897	6
397	900	4
398	902	2
399	904	0
