datum,Total sales,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,Day,Weekday Number
2014-01-02 08:00:00,4.07,0.0,0.67,0.4,2.0,0.0,0.0,0.0,1.0,2014,1,8,Thursday,2,4
2014-01-02 09:00:00,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2014,1,9,Thursday,2,4
2014-01-02 10:00:00,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,10,Thursday,2,4
2014-01-02 11:00:00,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2014,1,11,Thursday,2,4
2014-01-02 12:00:00,9.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,2014,1,12,Thursday,2,4
2014-01-02 13:00:00,24.4,0.0,1.0,2.0,20.4,0.0,0.0,0.0,1.0,2014,1,13,Thursday,2,4
2014-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,14,Thursday,2,4
2014-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,15,Thursday,2,4
2014-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,16,Thursday,2,4
2014-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,17,Thursday,2,4
2014-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,18,Thursday,2,4
2014-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,19,Thursday,2,4
2014-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,20,Thursday,2,4
2014-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,21,Thursday,2,4
2014-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,22,Thursday,2,4
2014-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,23,Thursday,2,4
2014-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,0,Friday,3,5
2014-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,1,Friday,3,5
2014-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,2,Friday,3,5
2014-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,3,Friday,3,5
2014-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,4,Friday,3,5
2014-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,5,Friday,3,5
2014-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,6,Friday,3,5
2014-01-03 07:00:00,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,1,7,Friday,3,5
2014-01-03 08:00:00,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2014,1,8,Friday,3,5
2014-01-03 09:00:00,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2014,1,9,Friday,3,5
2014-01-03 10:00:00,9.1,1.0,2.0,0.0,4.1,2.0,0.0,0.0,0.0,2014,1,10,Friday,3,5
2014-01-03 11:00:00,17.0,4.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,2014,1,11,Friday,3,5
2014-01-03 12:00:00,25.8,0.0,0.0,0.4,10.4,4.0,0.0,10.0,1.0,2014,1,12,Friday,3,5
2014-01-03 13:00:00,7.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,13,Friday,3,5
2014-01-03 14:00:00,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2014,1,14,Friday,3,5
2014-01-03 15:00:00,12.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,2014,1,15,Friday,3,5
2014-01-03 16:00:00,7.2,0.0,1.0,0.0,4.2,0.0,0.0,2.0,0.0,2014,1,16,Friday,3,5
2014-01-03 17:00:00,8.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2014,1,17,Friday,3,5
2014-01-03 18:00:00,3.3,0.0,0.0,1.0,0.3,2.0,0.0,0.0,0.0,2014,1,18,Friday,3,5
2014-01-03 19:00:00,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2014,1,19,Friday,3,5
2014-01-03 20:00:00,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2014,1,20,Friday,3,5
