Year,Month,Weekday,lag_1,lag_7,roll7,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,y,fecha
2014,1,4,75.22999999999999,48.47,63.76428571428571,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,62.68,2014-01-09
2014,1,5,62.68,107.0,65.79428571428572,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,81.3,2014-01-10
2014,1,6,81.3,91.35,62.122857142857136,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,87.24,2014-01-11
2014,1,7,87.24,66.1,61.535714285714285,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,27.16,2014-01-12
2014,1,1,27.16,58.2,55.97285714285714,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,90.2,2014-01-13
2014,1,2,90.2,0.0,60.54428571428571,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,62.330000000000005,2014-01-14
2014,1,3,62.330000000000005,75.22999999999999,69.44857142857143,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,58.04,2014-01-15
2014,1,4,58.04,62.68,66.99285714285715,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,65.6,2014-01-16
2014,1,5,65.6,81.3,67.41,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,58.38,2014-01-17
2014,1,6,58.38,87.24,64.13571428571429,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,83.33,2014-01-18
2014,1,7,83.33,27.16,63.57714285714285,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,32.43,2014-01-19
2014,1,1,32.43,90.2,64.33,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,59.54,2014-01-20
2014,1,2,59.54,62.330000000000005,59.95,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,69.34,2014-01-21
2014,1,3,69.34,58.04,60.951428571428565,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,52.1,2014-01-22
2014,1,4,52.1,65.6,60.10285714285715,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,49.07,2014-01-23
2014,1,5,49.07,58.38,57.74142857142857,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,52.61,2014-01-24
2014,1,6,52.61,83.33,56.917142857142856,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,81.8,2014-01-25
2014,1,7,81.8,32.43,56.698571428571434,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,34.01,2014-01-26
2014,1,1,34.01,59.54,56.924285714285716,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,56.81,2014-01-27
2014,1,2,56.81,69.34,56.534285714285716,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,58.52,2014-01-28
2014,1,3,58.52,52.1,54.988571428571426,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,39.33,2014-01-29
2014,1,4,39.33,49.07,53.16428571428571,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,45.26,2014-01-30
2014,1,5,45.26,52.61,52.620000000000005,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,47.68,2014-01-31
2014,2,6,47.68,81.8,51.91571428571428,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,84.65,2014-02-01
2014,2,7,84.65,34.01,52.32285714285714,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,39.7,2014-02-02
2014,2,1,39.7,56.81,53.135714285714286,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,64.9,2014-02-03
2014,2,2,64.9,58.52,54.291428571428575,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,69.93,2014-02-04
2014,2,3,69.93,39.33,55.92142857142858,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,63.62,2014-02-05
2014,2,4,63.62,45.26,59.39142857142857,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,80.91,2014-02-06
2014,2,5,80.91,47.68,64.48428571428572,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,64.43,2014-02-07
2014,2,6,64.43,84.65,66.87714285714286,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,74.18,2014-02-08
2014,2,7,74.18,39.7,65.38142857142857,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,56.5,2014-02-09
2014,2,1,56.5,64.9,67.78142857142858,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,90.93,2014-02-10
2014,2,2,90.93,69.93,71.5,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,105.09,2014-02-11
2014,2,3,105.09,63.62,76.52285714285713,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,107.37,2014-02-12
2014,2,4,107.37,80.91,82.77285714285713,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,84.1,2014-02-13
2014,2,5,84.1,64.43,83.22857142857143,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,76.50999999999999,2014-02-14
2014,2,6,76.50999999999999,74.18,84.95428571428572,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,57.34,2014-02-15
2014,2,7,57.34,56.5,82.54857142857144,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,47.88,2014-02-16
2014,2,1,47.88,90.93,81.31714285714285,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,72.03999999999999,2014-02-17
2014,2,2,72.03999999999999,105.09,78.61857142857141,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,97.8,2014-02-18
2014,2,3,97.8,107.37,77.57714285714285,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,105.65,2014-02-19
2014,2,4,105.65,84.1,77.33142857142856,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,66.72,2014-02-20
2014,2,5,66.72,76.50999999999999,74.84857142857142,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,61.74,2014-02-21
2014,2,6,61.74,57.34,72.73857142857143,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,54.870000000000005,2014-02-22
2014,2,7,54.870000000000005,47.88,72.38571428571429,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,37.34,2014-02-23
2014,2,1,37.34,72.03999999999999,70.88,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,50.68,2014-02-24
2014,2,2,50.68,97.8,67.82857142857144,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,67.38,2014-02-25
2014,2,3,67.38,105.65,63.48285714285714,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,62.01,2014-02-26
2014,2,4,62.01,66.72,57.24857142857143,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,58.540000000000006,2014-02-27
2014,2,5,58.540000000000006,61.74,56.08,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,71.66,2014-02-28
2014,3,6,71.66,54.870000000000005,57.49714285714286,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,82.175,2014-03-01
2014,3,7,82.175,37.34,61.39785714285714,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,15.94,2014-03-02
