Year,Month,Day,Hour,Weekday,lag_1,lag_24,roll24,y,fecha
2014.0,1.0,3.0,8.0,5.0,1.0,4.07,2.06125,0.6,2014-01-03 08:00:00
2014.0,1.0,3.0,9.0,5.0,0.6,3.0,1.9166666666666667,2.0,2014-01-03 09:00:00
2014.0,1.0,3.0,10.0,5.0,2.0,5.0,1.875,9.1,2014-01-03 10:00:00
2014.0,1.0,3.0,11.0,5.0,9.1,3.0,2.045833333333333,17.0,2014-01-03 11:00:00
2014.0,1.0,3.0,12.0,5.0,17.0,9.0,2.6291666666666664,25.8,2014-01-03 12:00:00
2014.0,1.0,3.0,13.0,5.0,25.8,24.4,3.329166666666667,7.0,2014-01-03 13:00:00
2014.0,1.0,3.0,14.0,5.0,7.0,0.0,2.6041666666666665,4.0,2014-01-03 14:00:00
2014.0,1.0,3.0,15.0,5.0,4.0,0.0,2.7708333333333335,12.0,2014-01-03 15:00:00
2014.0,1.0,3.0,16.0,5.0,12.0,0.0,3.2708333333333335,7.2,2014-01-03 16:00:00
2014.0,1.0,3.0,17.0,5.0,7.2,0.0,3.5708333333333333,8.0,2014-01-03 17:00:00
2014.0,1.0,3.0,18.0,5.0,8.0,0.0,3.904166666666667,3.3,2014-01-03 18:00:00
2014.0,1.0,3.0,19.0,5.0,3.3,0.0,4.041666666666667,2.0,2014-01-03 19:00:00
2014.0,1.0,3.0,20.0,5.0,2.0,0.0,4.125,8.0,2014-01-03 20:00:00
2014.0,1.0,3.0,21.0,5.0,8.0,0.0,4.458333333333333,0.0,2014-01-03 21:00:00
2014.0,1.0,3.0,22.0,5.0,0.0,0.0,4.458333333333333,0.0,2014-01-03 22:00:00
2014.0,1.0,3.0,23.0,5.0,0.0,0.0,4.458333333333333,0.0,2014-01-03 23:00:00
2014.0,1.0,4.0,0.0,6.0,0.0,0.0,4.458333333333333,0.0,2014-01-04 00:00:00
2014.0,1.0,4.0,1.0,6.0,0.0,0.0,4.458333333333333,0.0,2014-01-04 01:00:00
2014.0,1.0,4.0,2.0,6.0,0.0,0.0,4.458333333333333,0.0,2014-01-04 02:00:00
