Year,Week,lag_1,lag_2,roll4,y,fecha
2014.0,3.0,391.81,312.92,352.365,450.31,2014-01-19
2014.0,4.0,450.31,391.81,385.0133333333333,398.47,2014-01-26
2014.0,5.0,398.47,450.31,388.3775,371.95,2014-02-02
2014.0,6.0,371.95,398.47,403.135,474.47,2014-02-09
2014.0,7.0,474.47,371.95,423.8,569.22,2014-02-16
2014.0,8.0,569.22,474.47,453.52750000000003,496.16,2014-02-23
2014.0,9.0,496.16,569.22,477.95000000000005,408.385,2014-03-02
2014.0,10.0,408.385,496.16,487.05875000000003,357.505,2014-03-09
2014.0,11.0,357.505,408.385,457.8175,407.12,2014-03-16
2014.0,12.0,407.12,357.505,417.2925,382.58,2014-03-23
2014.0,13.0,382.58,407.12,388.8975,317.32,2014-03-30
2014.0,14.0,317.32,382.58,366.13124999999997,316.83,2014-04-06
2014.0,15.0,316.83,317.32,355.9625,310.91,2014-04-13
2014.0,16.0,310.91,316.83,331.90999999999997,320.09,2014-04-20
2014.0,17.0,320.09,310.91,316.2875,338.075,2014-04-27
2014.0,18.0,338.075,320.09,321.47625,342.58,2014-05-04
2014.0,19.0,342.58,338.075,327.91375,369.355,2014-05-11
2014.0,20.0,369.355,342.58,342.525,356.48,2014-05-18
2014.0,21.0,356.48,369.355,351.6225,314.298,2014-05-25
2014.0,22.0,314.298,356.48,345.67825,327.37,2014-06-01
2014.0,23.0,327.37,314.298,341.87575000000004,353.225,2014-06-08
2014.0,24.0,353.225,327.37,337.84325,317.13,2014-06-15
2014.0,25.0,317.13,353.225,328.00575000000003,291.21,2014-06-22
2014.0,26.0,291.21,317.13,322.23375,363.62,2014-06-29
2014.0,27.0,363.62,291.21,331.29625,302.89,2014-07-06
2014.0,28.0,302.89,363.62,318.7125,339.09,2014-07-13
2014.0,29.0,339.09,302.89,324.2025,287.33,2014-07-20
2014.0,30.0,287.33,339.09,323.23249999999996,309.08,2014-07-27
2014.0,31.0,309.08,287.33,309.59749999999997,262.53,2014-08-03
2014.0,32.0,262.53,309.08,299.50749999999994,311.0,2014-08-10
2014.0,33.0,311.0,262.53,292.485,314.25,2014-08-17
2014.0,34.0,314.25,311.0,299.21500000000003,317.58500000000004,2014-08-24
2014.0,35.0,317.58500000000004,314.25,301.34125,384.475,2014-08-31
2014.0,36.0,384.475,317.58500000000004,331.8275,337.98900000000003,2014-09-07
2014.0,37.0,337.98900000000003,384.475,338.57475,422.06,2014-09-14
2014.0,38.0,422.06,337.98900000000003,365.52725000000004,420.735,2014-09-21
2014.0,39.0,420.735,422.06,391.31475,438.39,2014-09-28
2014.0,40.0,438.39,420.735,404.79350000000005,532.446,2014-10-05
2014.0,41.0,532.446,438.39,453.40774999999996,518.36,2014-10-12
2014.0,42.0,518.36,532.446,477.48275,447.5596875,2014-10-19
2014.0,43.0,447.5596875,518.36,484.188921875,421.63,2014-10-26
2014.0,44.0,421.63,447.5596875,479.99892187499995,440.89,2014-11-02
2014.0,45.0,440.89,421.63,457.109921875,467.62,2014-11-09
2014.0,46.0,467.62,440.89,444.424921875,410.61,2014-11-16
2014.0,47.0,410.61,467.62,435.1875,407.59,2014-11-23
2014.0,48.0,407.59,410.61,431.67749999999995,391.35,2014-11-30
2014.0,49.0,391.35,407.59,419.2925,420.371,2014-12-07
2014.0,50.0,420.371,391.35,407.48025,439.02,2014-12-14
2014.0,51.0,439.02,420.371,414.58275,394.64,2014-12-21
2014.0,52.0,394.64,439.02,411.34525,603.454,2014-12-28
2015.0,1.0,603.454,394.64,464.37125,503.39,2015-01-04
2015.0,2.0,503.39,603.454,485.126,477.951,2015-01-11
2015.0,3.0,477.951,503.39,494.85875,499.95,2015-01-18
2015.0,4.0,499.95,477.951,521.18625,519.9780000000001,2015-01-25
2015.0,5.0,519.9780000000001,499.95,500.31725,455.77,2015-02-01
2015.0,6.0,455.77,519.9780000000001,488.41225,400.519,2015-02-08
2015.0,7.0,400.519,455.77,469.05424999999997,490.676,2015-02-15
2015.0,8.0,490.676,400.519,466.73575,477.894,2015-02-22
2015.0,9.0,477.894,490.676,456.21475,455.646,2015-03-01
2015.0,10.0,455.646,477.894,456.18375000000003,403.507,2015-03-08
2015.0,11.0,403.507,455.646,456.93075,460.487,2015-03-15
2015.0,12.0,460.487,403.507,449.3835,469.05,2015-03-22
2015.0,13.0,469.05,460.487,447.1725,445.982,2015-03-29
