iter	RMSE
0	20.40798488
1	19.72297032
2	19.1058511
3	18.52426614
4	17.97646233
5	17.40941801
6	16.87884815
7	16.34841346
8	15.89399181
9	15.48956484
10	15.04767257
11	14.62035854
12	14.2413958
13	13.87588223
14	13.56255811
15	13.16483811
16	12.84414443
17	12.54634966
18	12.23651004
19	11.94798167
20	11.64936764
21	11.36254359
22	11.08453515
23	10.8179127
24	10.57849679
25	10.34374906
26	10.11978708
27	9.914758175
28	9.713119237
29	9.513986531
30	9.314959039
31	9.135589548
32	8.945623034
33	8.778215236
34	8.61982804
35	8.456442676
36	8.294788922
37	8.144513691
38	8.020195619
39	7.886616036
40	7.747522629
41	7.625006484
42	7.488852147
43	7.368336267
44	7.244544949
45	7.118686601
46	7.000491742
47	6.895257034
48	6.784703274
49	6.698355855
50	6.586841576
51	6.490607848
52	6.392015248
53	6.302871106
54	6.229233462
55	6.14011989
56	6.053030721
57	5.964587122
58	5.871200444
59	5.786384928
60	5.707109836
61	5.622110557
62	5.541567184
63	5.453487252
64	5.378150927
65	5.295331893
66	5.223335011
67	5.142931279
68	5.075011886
69	5.00591269
70	4.938415114
71	4.876274524
72	4.80922524
73	4.738238569
74	4.681121645
75	4.617552772
76	4.551035649
77	4.490376952
78	4.430200495
79	4.367569277
80	4.31129706
81	4.255554848
82	4.200545608
83	4.142778505
84	4.097291298
85	4.048680904
86	3.998850348
87	3.955229421
88	3.904987487
89	3.854485561
90	3.811118617
91	3.765743486
92	3.718378023
93	3.675887389
94	3.629057625
95	3.580749735
96	3.542547371
97	3.496404682
98	3.454639829
99	3.414720842
100	3.372360437
101	3.336145259
102	3.297766912
103	3.255965439
104	3.220493529
105	3.186252987
106	3.159151459
107	3.12319414
108	3.085799209
109	3.049673005
110	3.017005359
111	2.989218366
112	2.952202517
113	2.91797982
114	2.889966594
115	2.859663021
116	2.825131232
117	2.796885056
118	2.7639136
119	2.734560906
120	2.705360661
121	2.679546377
122	2.652173624
123	2.626030697
124	2.597734831
125	2.567947188
126	2.542286444
127	2.520291926
128	2.499559087
129	2.472130133
130	2.448895799
131	2.423147147
132	2.397905114
133	2.374670179
134	2.354505103
135	2.330777061
136	2.305244247
137	2.28236101
138	2.25885831
139	2.238943172
140	2.218082744
141	2.198461549
142	2.179282439
143	2.158031691
144	2.137669027
145	2.119444776
146	2.099474988
147	2.084304381
148	2.065993783
149	2.047040106
150	2.02865301
151	2.011474374
152	1.994829811
153	1.979030435
154	1.965221449
155	1.951215675
156	1.933245559
157	1.916956631
158	1.901110478
159	1.885851423
160	1.869058347
161	1.850679644
162	1.833025337
163	1.819057027
164	1.802918844
165	1.788998579
166	1.775560479
167	1.761997368
168	1.747727516
169	1.734745543
170	1.720447157
171	1.707210276
172	1.694257734
173	1.684266551
174	1.673327207
175	1.659342204
176	1.647572168
177	1.635419836
178	1.621981671
179	1.610634062
180	1.599188841
181	1.588875902
182	1.578928221
183	1.566545109
184	1.556345806
185	1.545787363
186	1.537886924
187	1.527660194
188	1.518322383
189	1.506912034
190	1.496834551
191	1.488622551
192	1.480528896
193	1.469686273
194	1.461010559
195	1.452381147
196	1.443338399
197	1.435266737
198	1.42670433
199	1.417803514
200	1.410817058
201	1.401223933
202	1.394021077
203	1.38544458
204	1.378212609
205	1.370467148
206	1.363601636
207	1.356481139
208	1.350095192
209	1.342574204
210	1.334936826
211	1.328602505
212	1.322431611
213	1.315607778
214	1.309936031
215	1.304321855
216	1.298487064
217	1.291964174
218	1.284735245
219	1.278230476
220	1.272622572
221	1.267505051
222	1.262605659
223	1.256199205
224	1.251117341
225	1.246026905
226	1.241016169
227	1.236791947
228	1.232395109
229	1.226070091
230	1.221545155
231	1.21721118
232	1.212505915
233	1.208248243
234	1.20267615
235	1.197357396
236	1.191740069
237	1.187754494
238	1.182678163
239	1.177911067
240	1.17447886
241	1.170697411
242	1.167223335
243	1.163218945
244	1.160462023
245	1.15637654
246	1.152853207
247	1.14784098
248	1.144666592
249	1.136672682
250	1.132371502
251	1.128196424
252	1.125251159
253	1.121738166
254	1.118821211
255	1.116029282
256	1.112412071
257	1.1101448
258	1.103848322
259	1.099630264
