iter	Passed	Remaining
0	1	477
1	1	388
2	2	356
3	3	333
4	4	332
5	5	333
6	5	329
7	6	323
8	7	322
9	8	316
10	8	312
11	9	310
12	10	307
13	11	304
14	11	302
15	12	299
16	13	296
17	13	295
18	14	293
19	15	290
20	15	287
21	16	285
22	17	283
23	18	282
24	18	281
25	19	282
26	20	280
27	21	279
28	21	278
29	22	278
30	23	278
31	24	277
32	24	276
33	25	275
34	26	274
35	27	273
36	27	272
37	28	271
38	29	270
39	29	269
40	30	268
41	31	267
42	32	266
43	32	266
44	33	264
45	34	263
46	34	262
47	35	261
48	36	260
49	37	259
50	37	258
51	38	257
52	39	256
53	39	255
54	40	254
55	41	253
56	41	252
57	42	250
58	43	249
59	43	248
60	44	247
61	45	247
62	46	246
63	46	245
64	47	244
65	48	243
66	48	242
67	49	240
68	49	239
69	50	238
70	51	237
71	51	236
72	52	235
73	53	234
74	53	233
75	54	232
76	55	231
77	55	230
78	56	228
79	56	227
80	57	226
81	58	225
82	58	224
83	59	223
84	59	222
85	60	221
86	61	220
87	61	219
88	62	218
89	63	217
90	63	216
91	64	215
92	64	214
93	65	213
94	66	212
95	66	211
96	67	210
97	67	209
98	68	208
99	69	207
100	69	206
101	70	205
102	70	204
103	71	203
104	72	202
105	72	201
106	73	200
107	74	200
108	74	199
109	75	198
110	75	197
111	76	197
112	77	196
113	78	196
114	78	195
115	79	195
116	80	194
117	81	193
118	81	193
119	82	192
120	83	191
121	83	190
122	84	190
123	85	189
124	85	188
125	86	188
126	87	187
127	88	187
128	88	186
129	89	185
130	90	185
131	90	184
132	91	184
133	92	183
134	92	182
135	93	181
136	94	180
137	94	180
138	95	179
139	96	178
140	96	177
141	97	176
142	97	176
143	98	175
144	99	174
145	99	173
146	100	172
147	101	172
148	101	171
149	102	170
150	103	169
151	103	169
152	104	168
153	104	167
154	105	166
155	106	166
156	106	165
157	107	164
158	108	163
159	108	163
160	109	162
161	109	161
162	110	160
163	111	160
164	111	159
165	112	158
166	113	157
167	113	157
168	114	156
169	114	155
170	115	154
171	116	154
172	116	153
173	117	152
174	118	151
175	118	151
176	119	150
177	120	150
178	121	149
179	121	149
180	122	148
181	123	147
182	124	147
183	125	146
184	125	146
185	126	145
186	127	145
187	128	144
188	129	144
189	129	143
190	130	142
191	131	142
192	132	141
193	132	141
194	133	140
195	134	139
196	135	139
197	135	138
198	136	137
199	137	137
200	138	136
201	138	136
202	139	135
203	140	134
204	141	134
205	141	133
206	142	132
207	143	132
208	143	131
209	144	131
210	145	130
211	146	129
212	147	129
213	147	128
214	148	127
215	149	127
216	150	126
217	151	126
218	151	125
219	152	124
220	153	124
221	154	123
222	154	122
223	155	122
224	156	121
225	157	121
226	158	120
227	158	119
228	159	119
229	160	118
230	161	117
231	161	117
232	162	116
233	163	115
234	164	115
235	164	114
236	165	113
237	166	113
238	167	112
239	167	111
240	168	111
241	169	110
242	170	109
243	170	109
244	171	108
245	172	107
246	172	107
247	173	106
248	174	105
249	175	105
250	176	104
251	176	103
252	177	103
253	178	102
254	178	101
255	179	100
256	180	100
257	180	99
258	181	98
259	182	98
260	182	97
261	183	96
262	184	96
263	185	95
264	185	94
265	186	93
266	187	93
267	187	92
268	188	91
269	189	91
270	189	90
271	190	89
272	191	88
273	191	88
274	192	87
275	193	86
276	193	86
277	194	85
278	195	84
279	196	84
280	196	83
281	197	82
282	198	81
283	198	81
284	199	80
285	200	79
286	201	79
287	201	78
288	202	77
289	203	77
290	203	76
291	204	75
292	205	74
293	206	74
294	206	73
295	207	72
296	208	72
297	208	71
298	209	70
299	210	70
300	211	69
301	211	68
302	212	68
303	213	67
304	213	66
305	214	65
306	214	65
307	215	64
308	216	63
309	216	62
310	217	62
311	218	61
312	218	60
313	219	60
314	220	59
315	220	58
316	221	57
317	221	57
318	222	56
319	223	55
320	223	55
321	224	54
322	224	53
323	225	52
324	226	52
325	226	51
326	227	50
327	227	50
328	228	49
329	229	48
330	229	47
331	230	47
332	231	46
333	231	45
334	232	45
335	233	44
336	233	43
337	234	42
338	235	42
339	235	41
340	236	40
341	236	40
342	237	39
343	238	38
344	238	38
345	239	37
346	240	36
347	241	36
348	241	35
349	242	34
350	243	33
351	243	33
352	244	32
353	245	31
354	245	31
355	246	30
356	247	29
357	247	29
358	248	28
359	249	27
360	249	26
361	250	26
362	251	25
363	251	24
364	252	24
365	253	23
366	253	22
367	254	22
368	255	21
369	255	20
370	256	20
371	257	19
372	257	18
373	258	17
374	258	17
375	259	16
376	260	15
377	261	15
378	261	14
379	262	13
380	263	13
381	263	12
382	264	11
383	265	11
384	265	10
385	266	9
386	266	8
387	267	8
388	268	7
389	268	6
390	269	6
391	270	5
392	270	4
393	271	4
394	271	3
395	272	2
396	273	2
397	273	1
398	274	0
399	275	0
